TARGET_B,TARGET_D6,TARGET_D12,TARGET_D18,TARGET_D24,CONTROL_NUMBER,MONTHS_SINCE_ORIGIN,NUMBER_OF_RESP,DONOR_AGE,IN_HOUSE,URBANICITY,CLUSTER_CODE,HOME_OWNER,DONOR_GENDER,INCOME_GROUP,PUBLISHED_PHONE,WEALTH_RATING,MEDIAN_HOME_VALUE,MEDIAN_HOUSEHOLD_INCOME,PCT_OWNER_OCCUPIED,PEP_STAR,RECENT_STAR_STATUS,RECENCY_FREQ_STATUS,RECENT_CARD_RESPONSE_PROP,MONTHS_SINCE_LAST_PROM_RESP,LAST_GIFT_AMT,NUMBER_PROM_12,MONTHS_SINCE_LAST_GIFT,MONTHS_SINCE_FIRST_GIFT
0,0.0,0.0,0.0,0.0,6875,137,15,42.0,1,S,11.0,H,F,6.0,1,9.0,1556,421,45,1,0,A4,0.4,17.0,189.0,15,17,128
0,0.0,0.0,0.0,0.0,8384,65,33,42.0,1,R,53.0,U,M,5.0,0,1.0,310,163,79,1,0,A1,0.0,18.0,0.0,33,7,57
0,0.0,0.0,0.0,0.0,8863,53,16,42.0,1,U,7.0,H,M,5.0,0,6.0,1307,310,55,0,0,A1,0.167,20.0,0.0,16,20,57
0,0.0,0.0,0.0,0.0,10001,53,33,42.0,0,C,22.0,U,M,5.0,0,2.0,675,278,18,1,1,S3,0.125,18.0,0.0,33,18,52
0,0.0,0.0,0.0,0.0,14064,17,28,42.0,1,C,24.0,H,M,6.0,0,9.0,919,519,85,0,0,F1,0.0,17.0,50.0,28,20,20
0,0.0,0.0,0.0,0.0,14474,113,29,42.0,1,S,14.0,H,M,7.0,0,9.0,3453,1103,84,1,0,A1,0.0,26.0,30.0,29,4,113
0,0.0,0.0,0.0,0.0,14487,46,31,42.0,1,C,28.0,H,M,6.0,0,8.0,584,276,80,0,0,A1,0.091,19.0,41.71,31,6,67
0,0.0,0.0,0.0,0.0,14547,29,17,42.0,1,S,12.0,H,F,7.0,1,9.0,1884,518,85,0,0,N3,0.4,16.0,0.0,17,16,52
0,0.0,0.0,0.0,0.0,15445,113,13,42.0,0,C,25.0,H,M,3.0,1,6.0,782,223,14,1,0,A1,0.0,19.0,100.0,13,19,103
0,0.0,0.0,0.0,0.0,15651,137,12,42.0,0,C,24.0,H,F,7.0,0,9.0,1497,581,93,0,0,A2,0.222,23.0,0.0,12,23,127
